streetId,name,localityId,neighborhood
1686321335617kbpiva1k,avenida l n alem,1686321335615ehtl7hk1,ciudad autonoma buenos aires
streetId,name,localityId,neighborhood
1686321342143tsm8qglw,avenida l n alem,16863213421437b6ib0cr,ciudad autonoma buenos aires
streetId,name,localityId,neighborhood
1686321347773jjs68m7p,avenida l n alem,1686321347773py4ilukk,ciudad autonoma buenos aires
streetId,name,localityId,neighborhood
168632135256527r1wsz6,avenida l n alem,1686321352565pxac1mzz,ciudad autonoma buenos aires
streetId,name,localityId,neighborhood
16863213548814e2lpmvf,avenida l n alem,1686321354881c2kbhbuv,ciudad autonoma buenos aires
streetId,name,localityId,neighborhood
1686321359107sw8l1tju,avenida l n alem,1686321359107rpu7mzpc,ciudad autonoma buenos aires
streetId,name,localityId,neighborhood
1686321364612u56kk6h7,avenida l n alem,1686321364612xw8tryzk,ciudad autonoma buenos aires
streetId,name,localityId,neighborhood
16863213868296ra1gjn1,avenida l n alem,1686321386829nyu3cyk6,ciudad autonoma buenos aires
streetId,name,localityId,neighborhood
1686321389807fo6om4d2,avenida l n alem,1686321389807cuewpxdq,ciudad autonoma buenos aires
streetId,name,localityId,neighborhood
168632139393855hopnwr,avenida l n alem,1686321393938qny7iqws,ciudad autonoma buenos aires
streetId,name,localityId,neighborhood
1686321398445q4wsxvzv,avenida l n alem,1686321398445c5dg7jvo,ciudad autonoma buenos aires
streetId,name,localityId,neighborhood
1686321402620vcqtt4qd,avenida l n alem,1686321402620kyshps7u,ciudad autonoma buenos aires
streetId,name,localityId,neighborhood
1686321407437aujeuped,avenida l n alem,1686321407437gvqm8ber,ciudad autonoma buenos aires
streetId,name,localityId,neighborhood
1686321411582e07hh1zu,avenida l n alem,16863214115821kapdck3,ciudad autonoma buenos aires
streetId,name,localityId,neighborhood
1686321436034pijt5g71,avenida del libertador,1686321436034krnmt3hl,ciudad autonoma buenos aires
streetId,name,localityId,neighborhood
168632144045328e38bmf,avenida del libertador,1686321440453ivj5psss,ciudad autonoma buenos aires
streetId,name,localityId,neighborhood
1686321444722z6qo09x0,avenida del libertador,1686321444722lb0t73pl,ciudad autonoma buenos aires
streetId,name,localityId,neighborhood
1686321449034yuctc22m,avenida del libertador,1686321449034r86kd3xy,ciudad autonoma buenos aires
streetId,name,localityId,neighborhood
1686321453292bh6ubs06,avenida del libertador,16863214532925kawgptt,ciudad autonoma buenos aires
streetId,name,localityId,neighborhood
1686321457343ttf8ry6w,avenida del libertador,1686321457343bv2tw4he,ciudad autonoma buenos aires
streetId,name,localityId,neighborhood
1686321459818jjoczxay,avenida del libertador,1686321459818f42zd30b,ciudad autonoma buenos aires
streetId,name,localityId,neighborhood
1686321462312x3i3nnd1,avenida del libertador,1686321462312lwufqure,ciudad autonoma buenos aires
streetId,name,localityId,neighborhood
1686321466437wxgeipko,avenida del libertador,1686321466437rx1rtaz4,ciudad autonoma buenos aires
streetId,name,localityId,neighborhood
1686321470499i4e97o32,avenida del libertador,16863214704999c3gl2ms,ciudad autonoma buenos aires
streetId,name,localityId,neighborhood
1686321482756a1nh7s4u,avenida del libertador,168632148275647dkarwt,ciudad autonoma buenos aires
streetId,name,localityId,neighborhood
168632148709805xkkyyy,avenida del libertador,1686321487098fr4djbj6,ciudad autonoma buenos aires
streetId,name,localityId,neighborhood
1686321492585x553v5rp,avenida del libertador,1686321492585l4cg7u6h,ciudad autonoma buenos aires
streetId,name,localityId,neighborhood
1686321497517ss6j97ky,avenida del libertador,1686321497517pficn4em,ciudad autonoma buenos aires
streetId,name,localityId,neighborhood
1686321502118uli1im30,avenida del libertador,16863215021182lnpwybb,ciudad autonoma buenos aires
streetId,name,localityId,neighborhood
1686321505340q63crqnv,avenida del libertador,16863215053400i3dnq9e,ciudad autonoma buenos aires
streetId,name,localityId,neighborhood
16863215083056kul0o7o,avenida del libertador,1686321508305sfwgzosg,ciudad autonoma buenos aires
streetId,name,localityId,neighborhood
1686321512646mmwvkqed,avenida del libertador,1686321512646h7rj0q1r,ciudad autonoma buenos aires
streetId,name,localityId,neighborhood
1686321515872cbur0ieu,avenida del libertador,1686321515872jrgjqwo6,ciudad autonoma buenos aires
streetId,name,localityId,neighborhood
1686321520421wwbfky02,avenida del libertador,1686321520421ikvj8gny,ciudad autonoma buenos aires
streetId,name,localityId,neighborhood
16863215368172bzkvo6m,pasaje de las catalinas,1686321536817icmxkcjt,ciudad autonoma buenos aires
